"date","region","country","ISO2","ISO3","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-05-07,"-99","India","IN","IND",0.00733436953565184,0.00651021453152259,0.00815852453978108,0.00456576646590247,0.00391460431873868,0.00521692861306625,0.0125801437730717,0.0115036296203191,0.0136566579258243,0.00909431662699918,0.00896813763424024,0.00922049561975812
2020-05-07,"Andaman and Nicobar","India","IN","IND",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,"Andhra Pradesh","India","IN","IND",0.00240384615384615,0,0.00710963182978915,0.00240384615384615,0,0.00710963182978915,0.00721153846153846,0,0.0153425344774962,0.00264973274247339,0.00196871250035685,0.00333075298458993
2020-05-07,"Arunachal Pradesh","India","IN","IND",0.0476190476190476,0,0.138701380737578,0.0476190476190476,0,0.138701380737578,0.0476190476190476,0,0.138701380737578,0.091644204851752,0.074693763599648,0.108594646103856
2020-05-07,"Assam","India","IN","IND",0.00452488687782805,0,0.0133734147027899,0.00452488687782805,0,0.0133734147027899,0.0135746606334842,0,0.0288309372574014,0.0114402800307351,0.00951437972442101,0.0133661803370492
2020-05-07,"Bihar","India","IN","IND",0.0130151843817787,0.00266905210903778,0.0233613166545197,0.00867678958785249,0.000210662205473645,0.0171429169702313,0.0130151843817787,0.00266905210903778,0.0233613166545197,0.0305010893246187,0.0283401869276096,0.0326619917216279
2020-05-07,"Chandigarh","India","IN","IND",0.0428571428571429,0,0.0903030833379,0.0285714285714286,0,0.0675989063556695,0.0285714285714286,0,0.0675989063556695,0.0284386108832376,0.0230512641998869,0.0338259575665883
2020-05-07,"Chhattisgarh","India","IN","IND",0,0,0,0,0,0,0,0,0,0.000628930817610063,0,0.00134039612172182
2020-05-07,"Dadra and Nagar Haveli","India","IN","IND",0,0,0,0,0,0,0,0,0,0.00943396226415094,0,0.0278367638059564
2020-05-07,"Daman and Diu","India","IN","IND",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,"Goa","India","IN","IND",0,0,0,0,0,0,0,0,0,0.000857632933104631,0,0.0020457198957904
2020-05-07,"Gujarat","India","IN","IND",0.0124610591900312,0.000325768911946354,0.024596349468116,0.00311526479750779,0,0.00921155358185665,0.0124610591900312,0.000325768911946354,0.024596349468116,0.013401516487392,0.0116736712736618,0.0151293617011222
2020-05-07,"Haryana","India","IN","IND",0.0104166666666667,0.000261827522346516,0.0205715058109868,0.00520833333333333,0,0.0124077603549387,0.0130208333333333,0.0016823266177698,0.0243593400488969,0.00740887088807666,0.00622762670519966,0.00859011507095365
2020-05-07,"Himachal Pradesh","India","IN","IND",0.00518134715025907,0,0.0153102578409602,0,0,0,0,0,0,0.00234627040766448,0.00140868584409859,0.00328385497123038
2020-05-07,"Jammu and Kashmir","India","IN","IND",0,0,0,0,0,0,0,0,0,0.000725689404934688,0,0.00214749832577911
