"","State","date","p_cli_ksmooth_slope","predicted","Crowsourced_Current_Cases"
"1","India Andhra Pradesh",2021-06-12,-0.000119616606352639,1.1796120327781,"1.53284145893436"
"2","India Arunachal Pradesh",2021-06-12,0.000106208195454066,0.830197610742703,"3.72407521722455"
"3","India Assam",2021-06-12,2.55700218281668e-06,4.08297310626473,"2.86651870306267"
"4","India Bihar",2021-06-12,-0.000287542629286271,2.01095383660868,"2.2561106772768"
"5","India Chandigarh",2021-06-12,-1.99243346987558e-05,0.686071177726262,"2.2704507883612"
"6","India Chhattisgarh",2021-06-12,-0.000202673475041892,1.59079694520915,"1.68752968454291"
"7","India Delhi",2021-06-12,-0.000259980039316512,1.87450129124045,"1.87719393089279"
"8","India Goa",2021-06-12,-0.000164837449890546,1.40348428903962,"0.709404137571762"
"9","India Gujarat",2021-06-12,-0.000146304846888084,1.31173598616442,"1.59586968181771"
"10","India Haryana",2021-06-12,-0.00020838550923153,1.61907518777298,"2.87571487587401"
"11","India Himachal Pradesh",2021-06-12,7.51262866853265e-05,1.23023935730234,"2.56492253891761"
"12","India Jammu and Kashmir",2021-06-12,-3.9739558369483e-05,0.883762433659285,"2.77107573720429"
"13","India Jharkhand",2021-06-12,-0.00024766405851101,1.8135292660445,"2.36603845161555"
"14","India Karnataka",2021-06-12,-0.000102284671301796,1.30037576094037,"1.6610072384328"
"15","India Kerala",2021-06-12,2.99908285984751e-06,1.6737466545857,"1.8844602846456"
"16","India Ladakh",2021-06-12,-0.000286183590285476,2.00422571958916,"2.88913822603177"
"17","India Madhya Pradesh",2021-06-12,-4.5176732083034e-05,0.81108678416058,"2.99531070024433"
"18","India Maharashtra",2021-06-12,-5.48039067520805e-05,0.858747489852249,"0.929291587426794"
"19","India Manipur",2021-06-12,7.38877410337152e-05,0.967995827744794,"2.33537486203411"
"20","India Meghalaya",2021-06-12,3.72111791623053e-07,0,"2.01288904714411"
"21","India Mizoram",2021-06-12,-7.26775811774258e-05,0.947233672486618,"1.12920925934126"
"22","India Nagaland",2021-06-12,7.14272778123345e-05,1.14597738904212,"2.79109397109558"
"23","India Odisha",2021-06-12,3.07205712601621e-05,1.97504826160818,"2.78679439183121"
"24","India Puducherry",2021-06-12,7.62143866879506e-05,2.61095951509867,"3.14385467289331"
"25","India Punjab",2021-06-12,-0.000127917993831005,1.47111945753568,"1.9744781114319"
"26","India Rajasthan",2021-06-12,-0.000229983823028988,1.72600073057401,"1.87825178015637"
"27","India Sikkim",2021-06-12,1.72437964182162e-05,0.0348034073686598,"1.88354284676379"
"28","India Tamil Nadu",2021-06-12,2.93898807740729e-05,1.13182818926741,"1.84974170447842"
"29","India Telangana",2021-06-12,-0.000146885340339051,1.5974610527046,"2.15484527826998"
"30","India Tripura",2021-06-12,0.000113838438875968,0.0578994428685582,"3.57550888591785"
"31","India Uttar Pradesh",2021-06-12,-0.000207323503258552,1.61381757524214,"2.68251113590979"
"32","India Uttarakhand",2021-06-12,-0.000255590883211795,1.85277214591042,"1.74880910635791"
"33","India West Bengal",2021-06-12,-0.000138879372200692,1.54413325671339,"1.75439112533201"
