"country","region","date","Confirmed","Deaths","Recovered","Active","ISO2","ISO3"
"India",NA,2020-04-29,33062,1079,8437,23546,"IN","IND"
"India",NA,2020-04-30,34863,1154,9068,24641,"IN","IND"
"India",NA,2020-05-01,37257,1223,10007,26027,"IN","IND"
"India",NA,2020-05-02,39699,1323,10819,27557,"IN","IND"
"India",NA,2020-05-03,42505,1391,11775,29339,"IN","IND"
"India",NA,2020-05-04,46437,1566,12847,32024,"IN","IND"
"India",NA,2020-05-05,49400,1693,14142,33565,"IN","IND"
"India",NA,2020-05-06,52987,1785,15331,35871,"IN","IND"
"India",NA,2020-05-07,56351,1889,16776,37686,"IN","IND"
"India",NA,2020-05-08,59695,1985,17887,39823,"IN","IND"
"India",NA,2020-05-09,62808,2101,19301,41406,"IN","IND"
"India",NA,2020-05-10,67161,2212,20969,43980,"IN","IND"
"India",NA,2020-05-11,70768,2294,22549,45925,"IN","IND"
"India",NA,2020-05-12,74292,2415,24420,47457,"IN","IND"
"India",NA,2020-05-13,78055,2551,26400,49104,"IN","IND"
"India",NA,2020-05-14,81997,2649,27969,51379,"IN","IND"
"India",NA,2020-05-15,85784,2753,30258,52773,"IN","IND"
"India",NA,2020-05-16,90648,2871,34224,53553,"IN","IND"
"India",NA,2020-05-17,95698,3025,36795,55878,"IN","IND"
"India",NA,2020-05-18,100328,3156,39233,57939,"IN","IND"
"India",NA,2020-05-19,106475,3302,42309,60864,"IN","IND"
"India",NA,2020-05-20,112028,3434,45422,63172,"IN","IND"
"India",NA,2020-05-21,118226,3584,48553,66089,"IN","IND"
"India",NA,2020-05-22,124794,3726,51824,69244,"IN","IND"
"India",NA,2020-05-23,131423,3868,54385,73170,"IN","IND"
"India",NA,2020-05-24,138536,4024,57692,76820,"IN","IND"
"India",NA,2020-05-25,144950,4172,60706,80072,"IN","IND"
"India",NA,2020-05-26,150793,4344,64277,82172,"IN","IND"
"India",NA,2020-05-27,158086,4534,67749,85803,"IN","IND"
"India",NA,2020-05-28,165386,4711,70920,89755,"IN","IND"
"India",NA,2020-05-29,173491,4980,82627,85884,"IN","IND"
"India",NA,2020-05-30,181827,5185,86936,89706,"IN","IND"
"India",NA,2020-05-31,190609,5408,91852,93349,"IN","IND"
"India",NA,2020-06-01,198370,5608,95754,97008,"IN","IND"
"India",NA,2020-06-02,207191,5829,100285,101077,"IN","IND"
"India",NA,2020-06-03,216824,6088,104071,106665,"IN","IND"
