"ISO2","ISO_3","country_agg","region_agg","date","count","cli","cli_weight","cliWHO","cliWHO_weight","cli_local","count_local","weight","count_7days","cli_7days","cli_weight_7days","cliWHO_7days","cliWHO_weight_7days","cli_local_7days","count_local_7days","weight_7days","p_cli","p_cli_weight","p_cliWHO","p_cliWHO_weight","p_cli_local","p_cli_7days","p_cliWHO_7days","p_cli_local_7days","p_cli_smooth","p_cli_weight_smooth","p_cliWHO_smooth","p_cliWHO_weight_smooth","p_cli_local_smooth","slope_cli_smooth_7days","slope_cliWHO_smooth_7days","slope_cli_weight_smooth_7days","slope_cliWHO_weight_smooth_7days","slope_cli_local_smooth_7days"
"IN","IND","India","Uttar Pradesh",2020-12-21,283,4,428914.301489107,1,102666.283131065,47,264,36908976.4843511,NA,NA,NA,NA,NA,NA,NA,NA,0.0141342756183746,0.0116208668552746,0.00353356890459364,0.00278160742752089,0.00250746905676483,NA,NA,NA,0.00934099136917617,0.0121001912609076,0.00181497048775576,0.00155234024803246,0.00180954955977754,NA,NA,NA,NA,NA
"IN","IND","India","West Bengal",2020-12-21,240,1,79218.6090157163,0,0,44,229,22128491.6738865,NA,NA,NA,NA,NA,NA,NA,NA,0.00416666666666667,0.00357993713187425,0,0,0.00270619349283474,NA,NA,NA,0.00818980396425763,0.00712489099323721,0.0011468619980707,0.000944963611363789,0.00311961155314789,NA,NA,NA,NA,NA
"IN","IND","India","Andhra Pradesh",2020-12-22,263,0,0,0,0,36,251,18510513.6808095,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00202008865944672,NA,NA,NA,0.00211650472293275,0.00182765339779003,1.73656111248805e-06,3.49496961044366e-06,0.00223018143928245,NA,NA,NA,NA,NA
"IN","IND","India","Assam",2020-12-22,100,0,0,0,0,29,90,11289984.5917544,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00453834115805947,NA,NA,NA,0.00410923536636623,0.00227513843982429,0.00140830276108881,0.000978628514070479,0.00190123249291895,NA,NA,NA,NA,NA
"IN","IND","India","Bihar",2020-12-22,235,2,308771.427055817,1,181989.091826396,35,214,28543469.2464135,NA,NA,NA,NA,NA,NA,NA,NA,0.00851063829787234,0.010817585780839,0.00425531914893617,0.006375857477425,0.0023035408713966,NA,NA,NA,0.0100346952442271,0.0107285661103951,0.00258533284582898,0.00252058358768132,0.00209198082899733,NA,NA,NA,NA,NA
"IN","IND","India","Chhattisgarh",2020-12-22,100,0,0,0,0,30,96,10473840.3161742,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00440140845070423,NA,NA,NA,0.0124276740208253,0.00979692589048253,0.00352754580886483,0.00288251141019256,0.00269416933570912,NA,NA,NA,NA,NA
"IN","IND","India","Gujarat",2020-12-22,251,2,121904.706898239,0,0,53,239,19849750.2034322,NA,NA,NA,NA,NA,NA,NA,NA,0.00796812749003984,0.00614137234216484,0,0,0.00312334256585538,NA,NA,NA,0.00782537295593165,0.00682683811489512,0.00149496994260891,0.00108741932393843,0.0026245957375767,NA,NA,NA,NA,NA
"IN","IND","India","Haryana",2020-12-22,222,1,30170.6071403782,1,30170.6071403782,20,213,11619591.855431,NA,NA,NA,NA,NA,NA,NA,NA,0.0045045045045045,0.0025965289930796,0.0045045045045045,0.0025965289930796,0.00132248892415526,NA,NA,NA,0.00494509673815724,0.00840137101309662,0.00179602068415589,0.00288281050233665,0.00281533206889401,NA,NA,NA,NA,NA
"IN","IND","India","Himachal Pradesh",2020-12-22,100,0,0,0,0,31,93,5129806.55831183,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00469483568075117,NA,NA,NA,0.00455250597743338,0.00438099710321704,0.00155686690131547,0.00313630122854428,0.00256098756262229,NA,NA,NA,NA,NA
"IN","IND","India","Jammu and Kashmir",2020-12-22,100,0,0,0,0,44,89,8376353.82832577,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00696312707706916,NA,NA,NA,0.00676944178226317,0.00787722479691673,0.00250854297112261,0.00444206724168539,0.00452663808765569,NA,NA,NA,NA,NA
"IN","IND","India","Jharkhand",2020-12-22,100,0,0,0,0,0,95,9801700.21087695,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0.00821381968513307,0.00760026559907853,0.00128197967546489,0.000691187526289996,0.00125866562209182,NA,NA,NA,NA,NA
"IN","IND","India","Karnataka",2020-12-22,341,3,130210.722207529,1,53428.5400207443,39,333,23690628.1413476,NA,NA,NA,NA,NA,NA,NA,NA,0.00879765395894428,0.00549629673939587,0.00293255131964809,0.00225526059089564,0.00164953686080447,NA,NA,NA,0.00515147904125115,0.00512874413889745,0.00156404242271881,0.00110693443862899,0.00129665776580316,NA,NA,NA,NA,NA
"IN","IND","India","Kerala",2020-12-22,300,3,170429.35846183,0,0,85,290,21576529.2016084,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.00789883103391462,0,0,0.00412821758135017,NA,NA,NA,0.00983686540237022,0.00817139666352318,0.00178183366222698,0.00392754109468182,0.00479766345890848,NA,NA,NA,NA,NA
"IN","IND","India","Madhya Pradesh",2020-12-22,210,2,271907.766486317,0,0,18,198,20646449.5367713,NA,NA,NA,NA,NA,NA,NA,NA,0.00952380952380952,0.0131697106566458,0,0,0.00128040973111396,NA,NA,NA,0.00568109627891235,0.00589074710277764,0.00182675675491999,0.00186990870728968,0.00242636737909547,NA,NA,NA,NA,NA
"IN","IND","India","Maharashtra",2020-12-22,299,1,79369.5376768172,1,79369.5376768172,37,291,28214508.77464,NA,NA,NA,NA,NA,NA,NA,NA,0.00334448160535117,0.00281307529791753,0.00334448160535117,0.00281307529791753,0.00179081361018344,NA,NA,NA,0.00441562274706359,0.00481753218231142,0.00160242452955384,0.00211329100734769,0.00189859957647742,NA,NA,NA,NA,NA
"IN","IND","India","NCT of Delhi",2020-12-22,356,1,11064.5259331624,1,11064.5259331624,73,344,10903690.0104482,NA,NA,NA,NA,NA,NA,NA,NA,0.00280898876404494,0.00101475059567542,0.00280898876404494,0.00101475059567542,0.00298886341303636,NA,NA,NA,0.00374764799483197,0.00415462441866458,0.000762042045925552,0.00215937609137416,0.00273970465924382,NA,NA,NA,NA,NA
"IN","IND","India","Odisha",2020-12-22,142,1,129823.402681221,1,129823.402681221,40,133,14577244.2354271,NA,NA,NA,NA,NA,NA,NA,NA,0.00704225352112676,0.00890589473459676,0.00704225352112676,0.00890589473459676,0.00423594196759504,NA,NA,NA,0.00476779183004931,0.00344854828785689,0.00123018122655269,0.00117566446103016,0.00211361218551464,NA,NA,NA,NA,NA
"IN","IND","India","Punjab",2020-12-22,110,0,0,0,0,16,105,10206573.1270251,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00214621059691482,NA,NA,NA,0.00718912945085328,0.00678290213804315,0.00437608381604418,0.00317122660455255,0.00239268255921495,NA,NA,NA,NA,NA
"IN","IND","India","Rajasthan",2020-12-22,185,0,0,0,0,43,173,17499918.3924585,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00350077342668729,NA,NA,NA,0.00569746726155938,0.00514588308876112,0.00254213006655719,0.00255434601048608,0.00216880756630948,NA,NA,NA,NA,NA
"IN","IND","India","Tamil Nadu",2020-12-22,285,0,0,0,0,45,278,25651603.2075462,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00227986624784679,NA,NA,NA,0.00265124826093454,0.00288737823838632,0.000519869652688975,0.0003850152966576,0.00200450365441394,NA,NA,NA,NA,NA
