"country","region","date","Confirmed","Deaths","Recovered","Active","ISO2","ISO3"
"India","Andhra Pradesh",2021-01-03,883082,7115,872897,3070,"IN","IND"
"India","Arunachal Pradesh",2021-01-03,16732,56,16583,93,"IN","IND"
"India","Assam",2021-01-03,216304,1052,212132,3120,"IN","IND"
"India","Bihar",2021-01-03,252857,1405,246979,4473,"IN","IND"
"India","Chandigarh",2021-01-03,19881,320,19280,281,"IN","IND"
"India","Chhattisgarh",2021-01-03,282368,3400,268988,9980,"IN","IND"
"India","Dadra and Nagar Haveli and Daman and Diu",2021-01-03,3379,2,3368,9,"IN","IND"
"India","Delhi",2021-01-03,626872,10585,611243,5044,"IN","IND"
"India","Goa",2021-01-03,51295,741,49653,901,"IN","IND"
"India","Gujarat",2021-01-03,247228,4318,233660,9250,"IN","IND"
"India","Haryana",2021-01-03,263068,2917,257261,2890,"IN","IND"
"India","Himachal Pradesh",2021-01-03,55686,944,52912,1830,"IN","IND"
"India","Jammu and Kashmir",2021-01-03,121653,1886,116792,2975,"IN","IND"
"India","Jharkhand",2021-01-03,115529,1035,112893,1601,"IN","IND"
"India","Karnataka",2021-01-03,921938,12107,898919,10912,"IN","IND"
"India","Kerala",2021-01-03,775852,3141,707244,65467,"IN","IND"
"India","Ladakh",2021-01-03,9556,127,9173,256,"IN","IND"
"India","Lakshadweep",2021-01-03,0,0,0,0,"IN","IND"
"India","Madhya Pradesh",2021-01-03,244026,3641,231533,8852,"IN","IND"
"India","Maharashtra",2021-01-03,1942136,49666,1836999,55471,"IN","IND"
"India","Manipur",2021-01-03,28281,358,26815,1108,"IN","IND"
"India","Meghalaya",2021-01-03,13460,139,13186,135,"IN","IND"
"India","Mizoram",2021-01-03,4223,8,4127,88,"IN","IND"
"India","Nagaland",2021-01-03,11930,79,11673,178,"IN","IND"
"India","Odisha",2021-01-03,330309,1883,326209,2217,"IN","IND"
"India","Puducherry",2021-01-03,38224,633,37233,358,"IN","IND"
"India","Punjab",2021-01-03,167219,5376,158482,3361,"IN","IND"
"India","Rajasthan",2021-01-03,309821,2710,298620,8491,"IN","IND"
"India","Sikkim",2021-01-03,5920,129,5285,506,"IN","IND"
"India","Tamil Nadu",2021-01-03,820712,12156,800429,8127,"IN","IND"
"India","Telangana",2021-01-03,287740,1551,281083,5106,"IN","IND"
"India","Tripura",2021-01-03,33283,385,32815,83,"IN","IND"
"India","Unknown",2021-01-03,0,0,0,0,"IN","IND"
"India","Uttar Pradesh",2021-01-03,588171,8403,566910,12858,"IN","IND"
"India","Uttarakhand",2021-01-03,91811,1527,85908,4376,"IN","IND"
"India","West Bengal",2021-01-03,554975,9792,534737,10446,"IN","IND"
"India","Andaman and Nicobar Islands",2021-01-04,4948,62,4848,38,"IN","IND"
"India","Andhra Pradesh",2021-01-04,883210,7118,873149,2943,"IN","IND"
"India","Arunachal Pradesh",2021-01-04,16741,56,16598,87,"IN","IND"
"India","Assam",2021-01-04,216340,1054,212199,3087,"IN","IND"
"India","Bihar",2021-01-04,253272,1408,247484,4380,"IN","IND"
"India","Chandigarh",2021-01-04,19936,321,19348,267,"IN","IND"
"India","Chhattisgarh",2021-01-04,283515,3412,270337,9766,"IN","IND"
"India","Dadra and Nagar Haveli and Daman and Diu",2021-01-04,3379,2,3369,8,"IN","IND"
"India","Delhi",2021-01-04,627256,10597,611970,4689,"IN","IND"
"India","Goa",2021-01-04,51335,743,49741,851,"IN","IND"
"India","Gujarat",2021-01-04,247926,4321,234558,9047,"IN","IND"
"India","Haryana",2021-01-04,263312,2923,257652,2737,"IN","IND"
"India","Himachal Pradesh",2021-01-04,55808,946,53216,1646,"IN","IND"
"India","Jammu and Kashmir",2021-01-04,121786,1891,117211,2684,"IN","IND"
"India","Jharkhand",2021-01-04,115689,1036,113125,1528,"IN","IND"
"India","Karnataka",2021-01-04,922538,12110,900202,10226,"IN","IND"
"India","Kerala",2021-01-04,778873,3160,712389,63324,"IN","IND"
"India","Ladakh",2021-01-04,9561,127,9194,240,"IN","IND"
"India","Lakshadweep",2021-01-04,0,0,0,0,"IN","IND"
"India","Madhya Pradesh",2021-01-04,244647,3648,232390,8609,"IN","IND"
"India","Maharashtra",2021-01-04,1947011,49695,1847361,49955,"IN","IND"
"India","Manipur",2021-01-04,28332,361,26862,1109,"IN","IND"
"India","Meghalaya",2021-01-04,13482,139,13204,139,"IN","IND"
"India","Mizoram",2021-01-04,4234,8,4147,79,"IN","IND"
"India","Nagaland",2021-01-04,11935,79,11683,173,"IN","IND"
"India","Odisha",2021-01-04,330492,1885,326507,2100,"IN","IND"
"India","Puducherry",2021-01-04,38253,635,37261,357,"IN","IND"
"India","Punjab",2021-01-04,167441,5400,158972,3069,"IN","IND"
"India","Rajasthan",2021-01-04,310278,2714,299375,8189,"IN","IND"
"India","Sikkim",2021-01-04,5921,129,5307,485,"IN","IND"
"India","Tamil Nadu",2021-01-04,821550,12166,801414,7970,"IN","IND"
"India","Telangana",2021-01-04,287993,1554,281400,5039,"IN","IND"
"India","Tripura",2021-01-04,33284,385,32826,73,"IN","IND"
"India","Unknown",2021-01-04,0,0,0,0,"IN","IND"
"India","Uttar Pradesh",2021-01-04,588882,8413,567964,12505,"IN","IND"
"India","Uttarakhand",2021-01-04,92112,1535,86611,3966,"IN","IND"
"India","West Bengal",2021-01-04,555572,9817,536084,9671,"IN","IND"
"India","Andaman and Nicobar Islands",2021-01-05,4949,62,4856,31,"IN","IND"
"India","Andhra Pradesh",2021-01-05,883587,7122,873427,3038,"IN","IND"
"India","Arunachal Pradesh",2021-01-05,16744,56,16609,79,"IN","IND"
"India","Assam",2021-01-05,216381,1057,212249,3075,"IN","IND"
"India","Bihar",2021-01-05,253695,1415,247929,4351,"IN","IND"
"India","Chandigarh",2021-01-05,20026,322,19464,240,"IN","IND"
"India","Chhattisgarh",2021-01-05,284536,3437,271988,9111,"IN","IND"
"India","Dadra and Nagar Haveli and Daman and Diu",2021-01-05,3379,2,3370,7,"IN","IND"
"India","Delhi",2021-01-05,627698,10609,612527,4562,"IN","IND"
"India","Goa",2021-01-05,51415,744,49811,860,"IN","IND"
"India","Gujarat",2021-01-05,248581,4325,235426,8830,"IN","IND"
"India","Haryana",2021-01-05,263571,2927,257952,2692,"IN","IND"
"India","Himachal Pradesh",2021-01-05,55910,948,53523,1439,"IN","IND"
"India","Jammu and Kashmir",2021-01-05,121923,1897,117426,2600,"IN","IND"
"India","Jharkhand",2021-01-05,115840,1038,113380,1422,"IN","IND"
"India","Karnataka",2021-01-05,923353,12118,901579,9656,"IN","IND"
"India","Kerala",2021-01-05,784488,3184,717311,63993,"IN","IND"
"India","Ladakh",2021-01-05,9577,127,9215,235,"IN","IND"
"India","Lakshadweep",2021-01-05,0,0,0,0,"IN","IND"
"India","Madhya Pradesh",2021-01-05,245318,3662,233229,8427,"IN","IND"
"India","Maharashtra",2021-01-05,1950171,49759,1850189,50223,"IN","IND"
"India","Manipur",2021-01-05,28418,363,27613,442,"IN","IND"
"India","Meghalaya",2021-01-05,13506,141,13216,149,"IN","IND"
"India","Mizoram",2021-01-05,4247,8,4153,86,"IN","IND"
"India","Nagaland",2021-01-05,11937,79,11714,144,"IN","IND"
"India","Odisha",2021-01-05,330690,1887,326778,2025,"IN","IND"
"India","Puducherry",2021-01-05,38300,635,37292,373,"IN","IND"
"India","Punjab",2021-01-05,167652,5404,159265,2983,"IN","IND"
"India","Rajasthan",2021-01-05,310675,2719,300126,7830,"IN","IND"
"India","Sikkim",2021-01-05,5938,129,5316,493,"IN","IND"
"India","Tamil Nadu",2021-01-05,822370,12177,802385,7808,"IN","IND"
"India","Telangana",2021-01-05,288410,1556,281872,4982,"IN","IND"
"India","Tripura",2021-01-05,33286,387,32835,64,"IN","IND"
"India","Unknown",2021-01-05,0,0,0,0,"IN","IND"
"India","Uttar Pradesh",2021-01-05,589611,8433,568892,12286,"IN","IND"
"India","Uttarakhand",2021-01-05,92366,1544,87105,3717,"IN","IND"
"India","West Bengal",2021-01-05,556384,9841,537250,9293,"IN","IND"
"India","Andaman and Nicobar Islands",2021-01-06,4949,62,4859,28,"IN","IND"
"India","Odisha",2021-01-06,330921,1887,327008,2026,"IN","IND"
